,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,1000.0,47.0,703.0,250.0,47.0,433.0,235.0,285.0,47.0,225.0,258.0,207.0,263.0,330.0,47.0,49.0,206.0,167.0,201.0,193.0,206.0,171.0,167.0,166.0,47.0,50.0,184.0,202.0,80.0,46.0,145.0,158.0,140.0,45.0
Seg_Pct,1.0,0.047,0.703,0.25,0.047,0.433,0.235,0.285,0.047,0.225,0.258,0.207,0.263,0.33,0.047,0.049,0.206,0.167,0.201,0.193,0.206,0.171,0.167,0.166,0.047,0.05,0.184,0.202,0.08,0.046,0.145,0.158,0.14,0.045
region,2.022,2.0425531914893615,2.019914651493599,2.024,2.0425531914893615,2.043879907621247,2.021276595744681,1.9859649122807017,2.0425531914893615,2.017777777777778,2.0426356589147288,2.111111111111111,1.9315589353612168,1.996969696969697,2.0425531914893615,2.2653061224489797,1.9902912621359223,1.9401197604790419,2.099502487562189,2.1036269430051813,1.9902912621359223,1.9239766081871346,2.07185628742515,1.9397590361445782,2.0425531914893615,2.26,1.9293478260869565,2.0445544554455446,2.0375,2.0217391304347827,1.986206896551724,1.981012658227848,2.107142857142857,2.2666666666666666
tenure,35.526,51.97872340425532,34.12944523470839,36.36,51.97872340425532,27.25635103926097,35.71063829787234,45.22456140350877,51.97872340425532,36.0,34.25968992248062,29.057971014492754,38.51330798479088,29.2,51.97872340425532,49.69387755102041,34.80582524271845,48.33532934131737,28.70646766169154,26.212435233160623,34.80582524271845,30.842105263157894,30.55688622754491,48.373493975903614,51.97872340425532,48.94,32.97826086956522,31.485148514851485,34.45,51.80434782608695,34.53793103448276,47.037974683544306,22.807142857142857,51.68888888888889
age,41.645001,65.12767872340426,40.375533570412514,40.8,65.12767872340426,39.45727505773672,40.782978723404256,41.80701754385965,65.12767872340426,40.724444444444444,41.403101162790705,38.29468599033817,41.11026615969582,39.64848515151515,65.12767872340426,55.285714285714285,39.5873786407767,42.16167664670659,37.78606965174129,38.94818704663213,39.5873786407767,39.567251461988306,38.287425149700596,42.126506024096386,65.12767872340426,55.18,41.51086956521739,39.52475297029703,40.4125,65.30436739130435,39.07586206896552,41.35443037974684,36.357142857142854,55.46666666666667
marital,0.495,0.3191489361702128,0.4822190611664296,0.564,0.3191489361702128,0.4387990762124711,0.5531914893617021,0.5614035087719298,0.3191489361702128,0.5555555555555556,0.0,0.4444444444444444,1.0,0.4818181818181818,0.3191489361702128,0.3877551020408163,0.558252427184466,0.5868263473053892,0.4427860696517413,0.0,0.558252427184466,1.0,0.46107784431137727,0.5843373493975904,0.3191489361702128,0.4,0.40217391304347827,0.3910891089108911,0.7125,0.30434782608695654,0.4896551724137931,0.9810126582278481,0.2,0.37777777777777777
address,11.52,24.19148936170213,10.92460881934566,10.812,24.19148936170213,9.79445727482679,10.76595744680851,12.673684210526316,24.19148936170213,10.795555555555556,11.864341085271318,9.381642512077295,11.220532319391635,10.081818181818182,24.19148936170213,18.142857142857142,10.048543689320388,13.479041916167665,9.18407960199005,9.792746113989637,10.048543689320388,9.771929824561404,9.688622754491018,13.427710843373495,24.19148936170213,18.1,11.048913043478262,10.603960396039604,10.5625,24.32608695652174,9.820689655172414,12.620253164556962,7.95,18.88888888888889
income,73.78104699999999,37.595723404255324,68.69135021337127,94.89611519999997,37.595723404255324,63.65360184757506,97.28097361702126,75.75792842105264,37.595723404255324,95.92901688888887,76.16284651162789,64.10630338164252,66.57794676806084,53.945454545454545,37.595723404255324,341.6540408163266,73.59708737864078,63.01796407185629,58.63681592039801,56.69430051813472,73.59708737864078,50.39181286549707,59.32934131736527,62.903614457831324,37.595723404255324,338.88095999999996,51.03804347826087,59.960396039603964,73.5625,36.84780434782609,73.79310344827586,67.57594936708861,53.857142857142854,350.6899555555556
ed,2.671,2.0425531914893615,2.4523470839260315,3.404,2.0425531914893615,2.251732101616628,3.3957446808510636,2.814035087719298,2.0425531914893615,3.408888888888889,2.182170542635659,3.2028985507246377,2.2129277566539924,2.0393939393939395,2.0425531914893615,2.816326530612245,3.412621359223301,2.4730538922155687,3.2238805970149254,2.1709844559585494,3.412621359223301,2.0526315789473686,3.281437125748503,2.4819277108433737,2.0425531914893615,2.84,2.005434782608696,2.1534653465346536,2.9375,1.9782608695652173,3.593103448275862,2.8354430379746836,3.157142857142857,2.888888888888889
employ,10.951001,23.21277659574468,10.331437126600285,10.388000800000002,23.21277659574468,9.741339953810625,10.617022127659576,11.042105614035089,23.21277659574468,10.506667555555557,11.627907751937984,7.806763285024155,10.950570722433461,9.763636666666667,23.21277659574468,28.795926530612242,9.077669902912621,11.281437125748504,7.3283582089552235,9.58031139896373,9.077669902912621,9.163742690058479,7.634730538922156,11.22289156626506,23.21277659574468,28.720007999999996,10.33695652173913,9.980198514851486,10.8125,23.065228260869564,8.372413793103448,10.70253164556962,6.507142857142857,28.688897777777775
retire,0.047,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.006896551724137931,0.0,0.0,0.0
gender,0.517,0.6382978723404256,0.5120910384068279,0.508,0.6382978723404256,0.4942263279445728,0.5148936170212766,0.5333333333333333,0.6382978723404256,0.5155555555555555,0.5271317829457365,0.4927536231884058,0.5057034220532319,0.5121212121212121,0.6382978723404256,0.6122448979591837,0.5,0.5149700598802395,0.4925373134328358,0.5025906735751295,0.5,0.52046783625731,0.49700598802395207,0.5120481927710844,0.6382978723404256,0.6,0.0,1.0,0.525,0.6521739130434783,0.4827586206896552,0.5,0.4857142857142857,0.5777777777777777
reside,2.323,1.425531914893617,2.3157894736842106,2.512,1.425531914893617,2.235565819861432,2.5361702127659576,2.4280701754385965,1.425531914893617,2.5244444444444443,1.4147286821705427,2.2946859903381642,3.2243346007604563,2.3212121212121213,1.425531914893617,1.7346938775510203,2.592233009708738,2.467065868263473,2.283582089552239,1.4455958549222798,2.592233009708738,3.304093567251462,2.2994011976047903,2.4518072289156625,1.425531914893617,1.74,2.108695652173913,2.1732673267326734,2.8125,1.4130434782608696,2.4689655172413794,3.1772151898734178,1.9214285714285715,1.711111111111111
tollfree,0.474,0.574468085106383,0.35561877667140823,0.788,0.574468085106383,0.39260969976905313,0.8127659574468085,0.3017543859649123,0.574468085106383,0.8266666666666667,0.4496124031007752,0.178743961352657,0.41064638783269963,0.4484848484848485,0.574468085106383,0.6326530612244898,0.8300970873786407,0.38323353293413176,0.16417910447761194,0.45077720207253885,0.8300970873786407,0.40350877192982454,0.1497005988023952,0.3795180722891566,0.574468085106383,0.64,0.43478260869565216,0.3910891089108911,0.9125,0.5652173913043478,0.7931034482758621,0.27848101265822783,0.2,0.6444444444444445
equip,0.386,0.14893617021276595,0.267425320056899,0.764,0.14893617021276595,0.18937644341801385,0.7702127659574468,0.4070175438596491,0.14893617021276595,0.7688888888888888,0.12403100775193798,0.6570048309178744,0.1444866920152091,0.09090909090909091,0.14893617021276595,0.2653061224489796,0.7815533980582524,0.24550898203592814,0.6666666666666666,0.08808290155440414,0.7815533980582524,0.07602339181286549,0.8023952095808383,0.2469879518072289,0.14893617021276595,0.26,0.10326086956521739,0.10891089108910891,0.225,0.13043478260869565,1.0,0.45569620253164556,0.65,0.28888888888888886
